ID,SMILES,Standard Relation,IC50,pIC50,bioactivity
CHEMBL1446754,CCn1c(=S)sc2c(=O)n(CC(=O)Nc3ccccc3C(F)(F)F)c(C)nc21,'>',59640,,inactive
CHEMBL1447306,CC1=NNC(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccccc1,,49756,,inactive
CHEMBL1447783,O=C(Nc1cccc(N2C(=O)C=CC2=O)c1)c1cccs1,,14096,,inactive
CHEMBL1447796,O=c1oc(-c2ccccc2)cc(Cl)c1Cl,,49747,,inactive
CHEMBL1447888,COc1ccc2[nH]c(C(=O)O)c(CCN3C(=O)c4ccc(C(=O)O)cc4C3=O)c2c1,'=',433.08,6.36,active
CHEMBL1448093,O=C1Nc2cc(C(=O)N3CCC(N4CCCCC4)CC3)ccc2S/C1=C\c1ccccc1,'=',4514,5.34,active
CHEMBL1449204,CCOC(=O)CS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,'=',19206,4.72,inactive
CHEMBL1450616,O=C1CC(Sc2nnnn2-c2ccccc2)C(=O)N1c1cccc(Cl)c1,,12637,,inactive
CHEMBL1451470,O=C(NCc1cccnc1)/C(=C\c1ccc(-c2ccc(Cl)c(Cl)c2)o1)S(=O)(=O)c1ccccc1,,26682,,inactive
CHEMBL1452132,CN(C)c1ccc(/C=C/C(=O)c2cccc(Br)c2)cc1,'=',5596,5.25,active
CHEMBL1452412,Sc1nnc(-c2ccccc2)n1Cc1ccccc1,'=',8303,5.08,active
CHEMBL1453089,O=[N+]([O-])/C=C/c1ccc2c(ccn2Cc2ccccc2)c1,,30013,,inactive
CHEMBL1453652,O=C(O)c1ccccc1-c1ccc(/C=C/c2cc(C(F)(F)F)nc(O)n2)o1,'=',7005,5.16,active
CHEMBL1455265,O=C(O)c1c(C(=O)O)c(-c2ccc(Br)cc2)n2c1CSC2,'=',1508,5.82,active
CHEMBL1455686,CCn1c(S)nnc1-c1nn(-c2ccccc2)ccc1=O,'=',8569,5.07,active
CHEMBL1456096,Sc1nnc(-c2cccs2)n1Cc1ccccc1,'=',889,6.05,active
CHEMBL1456324,CC(C)(C)[C@H](N)C(=O)N[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C,,19498,,inactive
CHEMBL1458022,Cc1ccc(-n2c(Cl)c(Cl)nc(Cl)c2=O)cc1,'=',5159,5.29,active
CHEMBL1458470,NNC(=O)c1oc2nc(-c3ccc(Cl)cc3)cc(-c3ccccc3)c2c1N,'=',3785,5.42,active
CHEMBL1458472,O=P(O)(O)c1cc(-c2ccccc2)oc1-c1ccccc1,'=',10723,4.97,inactive
CHEMBL1458548,CCCNC(=O)c1nnsc1S(=O)(=O)c1ccc(Cl)cc1,'=',16287,4.79,inactive
CHEMBL1458632,NC(=O)SCC(=O)Nc1ccccc1C(=O)O,'=',5267,5.28,active
CHEMBL1458726,Cc1cc(SC#N)cc(C)c1NC(=O)CCl,,49743,,inactive
CHEMBL1459140,CC(C)(C)C(=O)/C(=C/c1cccc([N+](=O)[O-])c1)n1cncn1,,49751,,inactive
CHEMBL1459316,CC1C/C(=C/c2cccn2C)C(=O)/C(=C/c2cccn2C)C1,'=',4385,5.36,active
CHEMBL1460029,O=c1oc2ccccc2c(Cl)c1CN1CCCCC1,'=',6024,5.22,active
